date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days1b,days2,post1a,post1b,post2
2020-01-05,96,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-10,-14,-22,0,0,0
2020-01-12,94,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-9,-13,-21,0,0,0
2020-01-19,88,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-8,-12,-20,0,0,0
2020-01-26,90,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-7,-11,-19,0,0,0
2020-02-02,93,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-6,-10,-18,0,0,0
2020-02-09,99,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-5,-9,-17,0,0,0
2020-02-16,95,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-4,-8,-16,0,0,0
2020-02-23,89,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-3,-7,-15,0,0,0
2020-03-01,85,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-2,-6,-14,0,0,0
2020-03-08,93,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-1,-5,-13,0,0,0
2020-03-15,63,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,0,-4,-12,0,0,0
2020-03-22,42,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,1,-3,-11,1,0,0
2020-03-29,43,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,2,-2,-10,1,0,0
2020-04-05,42,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,3,-1,-9,1,0,0
2020-04-12,38,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,4,0,-8,1,0,0
2020-04-19,41,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,5,1,-7,1,1,0
2020-04-26,40,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,6,2,-6,1,1,0
2020-05-03,40,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,7,3,-5,1,1,0
2020-05-10,42,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,8,4,-4,1,1,0
2020-05-17,36,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,9,5,-3,1,1,0
2020-05-24,58,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,10,6,-2,1,1,0
2020-05-31,69,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,11,7,-1,1,1,0
2020-06-07,83,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,12,8,0,1,1,0
2020-06-14,97,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,13,9,1,1,1,1
2020-06-21,98,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,14,10,2,1,1,1
2020-06-28,97,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,15,11,3,1,1,1
2020-07-05,100,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,16,12,4,1,1,1
2020-07-12,86,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17,13,5,1,1,1
2020-07-19,77,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,18,14,6,1,1,1
2020-07-26,70,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,19,15,7,1,1,1
2020-08-02,81,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,20,16,8,1,1,1
2020-08-09,77,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,21,17,9,1,1,1
2020-08-16,63,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,22,18,10,1,1,1
2020-08-23,73,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,23,19,11,1,1,1
2020-08-30,73,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,24,20,12,1,1,1
2020-09-06,70,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,25,21,13,1,1,1
2020-09-13,62,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,26,22,14,1,1,1
2020-09-20,62,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,27,23,15,1,1,1
2020-09-27,62,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,28,24,16,1,1,1
2020-10-04,55,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,29,25,17,1,1,1
2020-10-11,58,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,30,26,18,1,1,1
2020-10-18,66,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,31,27,19,1,1,1
2020-10-25,51,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,32,28,20,1,1,1
2020-01-05,5,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-10,-14,-22,0,0,0
2020-01-12,7,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-9,-13,-21,0,0,0
2020-01-19,7,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-8,-12,-20,0,0,0
2020-01-26,5,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-7,-11,-19,0,0,0
2020-02-02,7,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-6,-10,-18,0,0,0
2020-02-09,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-5,-9,-17,0,0,0
2020-02-16,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-4,-8,-16,0,0,0
2020-02-23,7,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-3,-7,-15,0,0,0
2020-03-01,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-2,-6,-14,0,0,0
2020-03-08,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-1,-5,-13,0,0,0
2020-03-15,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,0,-4,-12,0,0,0
2020-03-22,5,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,1,-3,-11,1,0,0
2020-03-29,5,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,2,-2,-10,1,0,0
2020-04-05,7,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,3,-1,-9,1,0,0
2020-04-12,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,4,0,-8,1,0,0
2020-04-19,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,5,1,-7,1,1,0
2020-04-26,7,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,6,2,-6,1,1,0
2020-05-03,7,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,7,3,-5,1,1,0
2020-05-10,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,8,4,-4,1,1,0
2020-05-17,4,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,9,5,-3,1,1,0
2020-05-24,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,10,6,-2,1,1,0
2020-05-31,9,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,11,7,-1,1,1,0
2020-06-07,10,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,12,8,0,1,1,0
2020-06-14,12,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,13,9,1,1,1,1
2020-06-21,10,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,14,10,2,1,1,1
2020-06-28,12,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,15,11,3,1,1,1
2020-07-05,12,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,16,12,4,1,1,1
2020-07-12,11,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17,13,5,1,1,1
2020-07-19,9,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,18,14,6,1,1,1
2020-07-26,9,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,19,15,7,1,1,1
2020-08-02,7,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,20,16,8,1,1,1
2020-08-09,8,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,21,17,9,1,1,1
2020-08-16,7,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,22,18,10,1,1,1
2020-08-23,8,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,23,19,11,1,1,1
2020-08-30,8,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,24,20,12,1,1,1
2020-09-06,7,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,25,21,13,1,1,1
2020-09-13,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,26,22,14,1,1,1
2020-09-20,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,27,23,15,1,1,1
2020-09-27,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,28,24,16,1,1,1
2020-10-04,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,29,25,17,1,1,1
2020-10-11,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,30,26,18,1,1,1
2020-10-18,7,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,31,27,19,1,1,1
2020-10-25,6,"""lowongan kurir""+""loker kurir""",ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,32,28,20,1,1,1
2020-01-05,72,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-10,-14,-22,0,0,0
2020-01-12,67,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-9,-13,-21,0,0,0
2020-01-19,64,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-8,-12,-20,0,0,0
