date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days1b,days2,post1a,post1b,post2
2020-01-26,53,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-7,-11,-19,0,0,0
2020-02-02,45,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-6,-10,-18,0,0,0
2020-02-09,45,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-5,-9,-17,0,0,0
2020-02-16,44,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-4,-8,-16,0,0,0
2020-02-23,35,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-3,-7,-15,0,0,0
2020-03-01,34,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-2,-6,-14,0,0,0
2020-03-08,37,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-1,-5,-13,0,0,0
2020-03-15,25,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,0,-4,-12,0,0,0
2020-03-22,16,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,1,-3,-11,1,0,0
2020-03-29,13,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,2,-2,-10,1,0,0
2020-04-05,14,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,3,-1,-9,1,0,0
2020-04-12,13,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,4,0,-8,1,0,0
2020-04-19,12,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,5,1,-7,1,1,0
2020-04-26,10,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,6,2,-6,1,1,0
2020-05-03,10,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,7,3,-5,1,1,0
2020-05-10,9,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,8,4,-4,1,1,0
2020-05-17,6,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,9,5,-3,1,1,0
2020-05-24,12,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,10,6,-2,1,1,0
2020-05-31,18,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,11,7,-1,1,1,0
2020-06-07,20,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,12,8,0,1,1,0
2020-06-14,20,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,13,9,1,1,1,1
2020-06-21,21,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,14,10,2,1,1,1
2020-06-28,20,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,15,11,3,1,1,1
2020-07-05,19,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,16,12,4,1,1,1
2020-07-12,20,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,17,13,5,1,1,1
2020-07-19,19,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,18,14,6,1,1,1
2020-07-26,15,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,19,15,7,1,1,1
2020-08-02,15,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,20,16,8,1,1,1
2020-08-09,14,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,21,17,9,1,1,1
2020-08-16,16,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,22,18,10,1,1,1
2020-08-23,15,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,23,19,11,1,1,1
2020-08-30,14,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,24,20,12,1,1,1
2020-09-06,15,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,25,21,13,1,1,1
2020-09-13,11,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,26,22,14,1,1,1
2020-09-20,11,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,27,23,15,1,1,1
2020-09-27,10,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,28,24,16,1,1,1
2020-10-04,11,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,29,25,17,1,1,1
2020-10-11,11,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,30,26,18,1,1,1
2020-10-18,11,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,31,27,19,1,1,1
2020-10-25,13,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,32,28,20,1,1,1
2020-01-05,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-10,-14,-22,0,0,0
2020-01-12,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-9,-13,-21,0,0,0
2020-01-19,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-8,-12,-20,0,0,0
2020-01-26,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-7,-11,-19,0,0,0
2020-02-02,2,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-6,-10,-18,0,0,0
2020-02-09,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-5,-9,-17,0,0,0
2020-02-16,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-4,-8,-16,0,0,0
2020-02-23,2,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-3,-7,-15,0,0,0
2020-03-01,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-2,-6,-14,0,0,0
2020-03-08,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-1,-5,-13,0,0,0
2020-03-15,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,0,-4,-12,0,0,0
2020-03-22,2,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,1,-3,-11,1,0,0
2020-03-29,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,2,-2,-10,1,0,0
2020-04-05,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,3,-1,-9,1,0,0
2020-04-12,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,4,0,-8,1,0,0
2020-04-19,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,5,1,-7,1,1,0
2020-04-26,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,6,2,-6,1,1,0
2020-05-03,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,7,3,-5,1,1,0
2020-05-10,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,8,4,-4,1,1,0
2020-05-17,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,9,5,-3,1,1,0
2020-05-24,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,10,6,-2,1,1,0
2020-05-31,6,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,11,7,-1,1,1,0
2020-06-07,5,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,12,8,0,1,1,0
2020-06-14,5,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,13,9,1,1,1,1
2020-06-21,5,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,14,10,2,1,1,1
2020-06-28,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,15,11,3,1,1,1
2020-07-05,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,16,12,4,1,1,1
2020-07-12,5,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,17,13,5,1,1,1
2020-07-19,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,18,14,6,1,1,1
2020-07-26,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,19,15,7,1,1,1
2020-08-02,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,20,16,8,1,1,1
2020-08-09,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,21,17,9,1,1,1
2020-08-16,5,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,22,18,10,1,1,1
2020-08-23,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,23,19,11,1,1,1
2020-08-30,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,24,20,12,1,1,1
2020-09-06,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,25,21,13,1,1,1
2020-09-13,2,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,26,22,14,1,1,1
2020-09-20,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,27,23,15,1,1,1
2020-09-27,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,28,24,16,1,1,1
2020-10-04,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,29,25,17,1,1,1
2020-10-11,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,30,26,18,1,1,1
2020-10-18,2,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,31,27,19,1,1,1
2020-10-25,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,32,28,20,1,1,1
