date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days2
2020-01-05,29,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-10,-22
2020-01-12,37,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-9,-21
2020-01-19,34,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-8,-20
2020-01-26,40,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-7,-19
2020-02-02,43,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-6,-18
2020-02-09,42,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-5,-17
2020-02-16,45,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-4,-16
2020-02-23,33,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-3,-15
2020-03-01,36,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-2,-14
2020-03-08,33,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-1,-13
2020-03-15,25,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,0,-12
2020-03-22,22,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,1,-11
2020-03-29,22,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,2,-10
2020-04-05,18,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,3,-9
2020-04-12,24,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,4,-8
2020-04-19,15,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,5,-7
2020-04-26,18,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,6,-6
2020-05-03,23,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,7,-5
2020-05-10,14,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,8,-4
2020-05-17,18,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,9,-3
2020-05-24,28,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,10,-2
2020-05-31,38,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,11,-1
2020-06-07,34,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,12,0
2020-06-14,44,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,13,1
2020-06-21,51,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,14,2
2020-06-28,39,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,15,3
2020-07-05,43,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,16,4
2020-07-12,41,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17,5
2020-07-19,28,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,18,6
2020-07-26,33,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,19,7
2020-08-02,38,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,20,8
2020-08-09,31,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,21,9
2020-08-16,37,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,22,10
2020-08-23,29,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,23,11
2020-08-30,31,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,24,12
2020-09-06,26,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,25,13
2020-09-13,30,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,26,14
2020-09-20,25,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,27,15
2020-09-27,30,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,28,16
2020-10-04,29,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,29,17
2020-10-11,30,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,30,18
2020-10-18,29,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,31,19
2020-10-25,23,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,32,20
2020-01-05,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-10,-22
2020-01-12,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-9,-21
2020-01-19,8,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-8,-20
2020-01-26,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-7,-19
2020-02-02,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-6,-18
2020-02-09,8,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-5,-17
2020-02-16,12,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-4,-16
2020-02-23,5,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-3,-15
2020-03-01,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-2,-14
2020-03-08,6,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-1,-13
2020-03-15,7,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,0,-12
2020-03-22,3,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,1,-11
2020-03-29,7,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,2,-10
2020-04-05,8,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,3,-9
2020-04-12,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,4,-8
2020-04-19,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,5,-7
2020-04-26,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,6,-6
2020-05-03,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,7,-5
2020-05-10,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,8,-4
2020-05-17,6,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,9,-3
2020-05-24,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,10,-2
2020-05-31,13,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,11,-1
2020-06-07,14,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,12,0
2020-06-14,15,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,13,1
2020-06-21,17,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,14,2
2020-06-28,15,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,15,3
2020-07-05,16,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,16,4
2020-07-12,18,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17,5
2020-07-19,11,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,18,6
2020-07-26,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,19,7
2020-08-02,11,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,20,8
2020-08-09,8,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,21,9
2020-08-16,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,22,10
2020-08-23,12,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,23,11
2020-08-30,8,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,24,12
2020-09-06,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,25,13
2020-09-13,13,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,26,14
2020-09-20,6,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,27,15
2020-09-27,8,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,28,16
2020-10-04,5,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,29,17
2020-10-11,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,30,18
2020-10-18,7,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,31,19
2020-10-25,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,32,20
2020-01-05,99,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-10,-22
2020-01-12,100,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-9,-21
2020-01-19,79,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-8,-20
2020-01-26,75,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-7,-19
2020-02-02,73,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-6,-18
2020-02-09,66,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-5,-17
2020-02-16,56,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-4,-16
2020-02-23,58,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-3,-15
2020-03-01,56,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-2,-14
2020-03-08,52,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,-1,-13
2020-03-15,43,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,0,-12
2020-03-22,26,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,1,-11
2020-03-29,26,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,2,-10
2020-04-05,41,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,3,-9
2020-04-12,27,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,4,-8
2020-04-19,24,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,5,-7
2020-04-26,25,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,6,-6
2020-05-03,20,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,7,-5
2020-05-10,21,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,8,-4
2020-05-17,16,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,9,-3
2020-05-24,29,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,10,-2
2020-05-31,39,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,11,-1
2020-06-07,42,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,12,0
2020-06-14,47,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,13,1
2020-06-21,37,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,14,2
2020-06-28,34,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,15,3
2020-07-05,35,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,16,4
2020-07-12,37,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,17,5
2020-07-19,35,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,18,6
2020-07-26,31,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,19,7
2020-08-02,29,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,20,8
2020-08-09,25,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,21,9
2020-08-16,32,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,22,10
2020-08-23,29,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,23,11
2020-08-30,29,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,24,12
2020-09-06,26,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,25,13
2020-09-13,23,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,26,14
2020-09-20,23,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,27,15
2020-09-27,22,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,28,16
2020-10-04,21,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,29,17
2020-10-11,23,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,30,18
2020-10-18,20,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,31,19
2020-10-25,16,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,32,20
2020-01-05,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-10,-22
2020-01-12,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-9,-21
2020-01-19,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-8,-20
2020-01-26,13,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-7,-19
2020-02-02,10,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-6,-18
2020-02-09,9,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-5,-17
2020-02-16,13,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-4,-16
2020-02-23,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-3,-15
2020-03-01,6,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-2,-14
2020-03-08,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-1,-13
2020-03-15,6,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,0,-12
2020-03-22,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,1,-11
2020-03-29,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,2,-10
2020-04-05,10,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,3,-9
2020-04-12,10,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,4,-8
2020-04-19,12,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,5,-7
2020-04-26,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,6,-6
2020-05-03,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,7,-5
2020-05-10,7,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,8,-4
2020-05-17,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,9,-3
2020-05-24,19,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,10,-2
2020-05-31,13,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,11,-1
2020-06-07,21,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,12,0
2020-06-14,15,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,13,1
2020-06-21,20,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,14,2
2020-06-28,15,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,15,3
2020-07-05,22,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,16,4
2020-07-12,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,17,5
2020-07-19,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,18,6
2020-07-26,12,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,19,7
2020-08-02,9,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,20,8
2020-08-09,13,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,21,9
2020-08-16,10,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,22,10
2020-08-23,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,23,11
2020-08-30,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,24,12
2020-09-06,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,25,13
2020-09-13,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,26,14
2020-09-20,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,27,15
2020-09-27,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,28,16
2020-10-04,10,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,29,17
2020-10-11,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,30,18
2020-10-18,15,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,31,19
2020-10-25,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,32,20
